"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
181,0.20630754466156,0.655411260992566,0.0694442360361132,0.0544016009299433,0.0726186602621969,0.0419262801299359,0.0523959288434345,0.999151040876344,0.845373720340271
182,0.193418591348476,0.618723824512609,0.0664545202747728,0.0501454918646599,0.0677976878874501,0.0449015570022833,0.0484529509811147,0.999708563286447,0.856489797937094
183,0.264248369865913,0.839182987450761,0.0973274248438073,0.0746280907003873,0.102169761274224,0.0409153738767958,0.0729717126413976,0.999948811739242,0.838727828254516
184,0.260848434685786,0.872019376023881,0.0918636021608234,0.0762017239238783,0.100931061282392,0.0475471841035598,0.0739854478318716,0.999990033847381,0.831506638653756
185,0.211099481805736,0.665046015457433,0.0700885672917154,0.056289028430994,0.0784744176793337,0.0454394131329167,0.0546405349303876,0.999995403394602,0.876405459999675
186,0.20486307157685,0.822263895512374,0.0703450050401856,0.0560220167402796,0.077473479576998,0.0374266243801273,0.0546212385674043,0.999996473925577,0.88053010861753
187,0.250675403913358,0.636630779276407,0.0789971943570334,0.061622940672067,0.0899795552660688,0.0388710977062148,0.0612570575670286,0.999999178871937,0.89391514622773
188,0.259378726728704,0.476547646769795,0.0825527351329265,0.0645466774511365,0.0928266689918435,0.0416100496449527,0.0636074682499452,0.999999139678419,0.903559412602126
189,0.259378726728704,0.476547646769795,0.0825527351329265,0.0645466774511365,0.0928266689918435,0.0416100496449527,0.0636074682499452,0.999999139678419,0.903559412602126
190,0.966397217182834,0.898191703092022,0.729517548757743,0.701756301525166,0.712856081330196,0.564314459897897,0.661121341025006,0.999252744124172,0.389107762724834
191,0.960640800086175,0.924890564029074,0.681258263017506,0.650690885510598,0.680946499819761,0.476750060177404,0.626021727641353,0.999901775960696,0.42055083144855
192,0.634968486153873,0.659215674647988,0.390913195798551,0.376975326504163,0.392670394342942,0.289959433351072,0.347315786195606,0.99970198923479,0.468676796122476
193,0.528969748217196,0.671367375590494,0.300432588640457,0.284246891674017,0.299988707111109,0.231694718894335,0.258260838257194,0.999857215943684,0.470009764231697
194,0.599588040782443,0.530234868763053,0.354708378028807,0.328704847089588,0.356834867534757,0.244684955571815,0.30463347148291,0.999963440713612,0.577022421034451
195,0.471404670889085,0.588455208536036,0.264854793176821,0.239262825368688,0.256432210693749,0.13199095015329,0.214655467097314,0.999975330634769,0.591780915356229
196,0.455468680503077,0.556443445354623,0.254758567772709,0.23067713768649,0.24645150387453,0.127820236208756,0.206199221689397,0.999982753103941,0.609684167318072
197,0.455468680503077,0.556443445354623,0.254758567772709,0.23067713768649,0.24645150387453,0.127820236208756,0.206199221689397,0.999982753103941,0.609684167318072
198,0.883037174864699,0.599042173564416,0.63493462443698,0.629089617387457,0.646401702043442,0.612742612284362,0.600543528065927,0.999593223469212,0.474785263414727
199,0.59589730205366,0.497702940462991,0.384427587759462,0.38266375717074,0.390692459256246,0.342342357960614,0.353561302907567,0.998952786409371,0.474901490719155
200,0.538292382644198,0.545311386896443,0.332342436789977,0.32365343934415,0.33273720199838,0.279853757368601,0.295038582859718,0.998920506028854,0.456965039970744
201,0.432792393779628,0.616382490734233,0.249199581605261,0.230314071885862,0.249929741163317,0.108377222843441,0.211285624952537,0.999858434157898,0.598084664639122
202,0.425917615733684,0.668467410629533,0.256656662495752,0.23666056206191,0.251400556441472,0.114946945937781,0.215916074929743,0.999874405908485,0.601295680176406
203,0.40349280138058,0.746311567653709,0.239677504099754,0.220552218234683,0.235256078478067,0.0991941752690555,0.201458340770115,0.999923989791128,0.625020892404388
204,0.40349280138058,0.746311567653709,0.239677504099754,0.220552218234683,0.235256078478067,0.0991941752690555,0.201458340770115,0.999923989791128,0.625020892404388
205,0.122961348102334,0.932740372210617,0.0458048550477071,0.037176617708165,0.0436229666560683,0.0351067796970173,0.0328531370953749,0.990041484901209,0.958734883476156
206,0.0977619537146546,0.70571579214796,0.0265865738113277,0.0185577735159326,0.0262258000645471,0.0192252496972835,0.0188636581133287,0.998064351258927,0.926291648622472
207,0.067760749771922,0.976786053387753,0.0132144025567277,0.00902772305954919,0.0138231883517186,0.00875602079589447,0.00889245415581983,0.999585383436838,0.85937952407358
208,0.0694990203650661,0.975325783712626,0.0131396879542872,0.00731651889563364,0.0133174473914231,0.00544203489416198,0.00782897209236606,0.999949639938257,0.857264588184742
209,0.125205865208064,0.953968465047965,0.0286495864844857,0.0185323764225467,0.0290050165590496,0.0156865678643379,0.0190800030156563,0.99997746262198,0.911060211032957
210,0.0992448880837045,0.767523749237316,0.0220428716837587,0.014353448864176,0.0238153145760811,0.0103737805837754,0.0147787865162905,0.99999468438185,0.903383392681112
211,0.0746517081763616,0.786857966329041,0.0140757735513661,0.00951262147246593,0.0157028790838035,0.00668348136254667,0.00941870129364538,0.999998771571597,0.876042271389456
212,0.0704017264243923,0.809187208707206,0.0113257668689679,0.00706082475984522,0.0123569551409579,0.00529073278842118,0.00706555747137106,0.999999501826574,0.895947280626791
213,0.0797999941100728,0.651683365935187,0.0130217096795725,0.00786075621618885,0.0138644107647965,0.00736828337933221,0.00802128933794449,0.999999749466616,0.885780261157714
214,0.0797999941100728,0.651683365935187,0.0130217096795725,0.00786075621618885,0.0138644107647965,0.00736828337933221,0.00802128933794449,0.999999749466616,0.885780261157714
215,0.20630754466156,0.655411260992566,0.0694442360361132,0.0544016009299433,0.0726186602621969,0.0419262801299359,0.0523959288434345,0.999151040876344,0.845373720340271
216,0.193418591348476,0.618723824512609,0.0664545202747728,0.0501454918646599,0.0677976878874501,0.0449015570022833,0.0484529509811147,0.999708563286447,0.856489797937094
217,0.264248369865913,0.839182987450761,0.0973274248438073,0.0746280907003873,0.102169761274224,0.0409153738767958,0.0729717126413976,0.999948811739242,0.838727828254516
218,0.260848434685786,0.872019376023881,0.0918636021608234,0.0762017239238783,0.100931061282392,0.0475471841035598,0.0739854478318716,0.999990033847381,0.831506638653756
219,0.211099481805736,0.665046015457433,0.0700885672917154,0.056289028430994,0.0784744176793337,0.0454394131329167,0.0546405349303876,0.999995403394602,0.876405459999675
220,0.20486307157685,0.822263895512374,0.0703450050401856,0.0560220167402796,0.077473479576998,0.0374266243801273,0.0546212385674043,0.999996473925577,0.88053010861753
221,0.250675403913358,0.636630779276407,0.0789971943570334,0.061622940672067,0.0899795552660688,0.0388710977062148,0.0612570575670286,0.999999178871937,0.89391514622773
222,0.259378726728704,0.476547646769795,0.0825527351329265,0.0645466774511365,0.0928266689918435,0.0416100496449527,0.0636074682499452,0.999999139678419,0.903559412602126
223,0.259378726728704,0.476547646769795,0.0825527351329265,0.0645466774511365,0.0928266689918435,0.0416100496449527,0.0636074682499452,0.999999139678419,0.903559412602126
224,0.966397217182834,0.898191703092022,0.729517548757743,0.701756301525166,0.712856081330196,0.564314459897897,0.661121341025006,0.999252744124172,0.389107762724834
225,0.960640800086175,0.924890564029074,0.681258263017506,0.650690885510598,0.680946499819761,0.476750060177404,0.626021727641353,0.999901775960696,0.42055083144855
226,0.634968486153873,0.659215674647988,0.390913195798551,0.376975326504163,0.392670394342942,0.289959433351072,0.347315786195606,0.99970198923479,0.468676796122476
227,0.528969748217196,0.671367375590494,0.300432588640457,0.284246891674017,0.299988707111109,0.231694718894335,0.258260838257194,0.999857215943684,0.470009764231697
228,0.599588040782443,0.530234868763053,0.354708378028807,0.328704847089588,0.356834867534757,0.244684955571815,0.30463347148291,0.999963440713612,0.577022421034451
229,0.471404670889085,0.588455208536036,0.264854793176821,0.239262825368688,0.256432210693749,0.13199095015329,0.214655467097314,0.999975330634769,0.591780915356229
230,0.455468680503077,0.556443445354623,0.254758567772709,0.23067713768649,0.24645150387453,0.127820236208756,0.206199221689397,0.999982753103941,0.609684167318072
231,0.455468680503077,0.556443445354623,0.254758567772709,0.23067713768649,0.24645150387453,0.127820236208756,0.206199221689397,0.999982753103941,0.609684167318072
232,0.883037174864699,0.599042173564416,0.63493462443698,0.629089617387457,0.646401702043442,0.612742612284362,0.600543528065927,0.999593223469212,0.474785263414727
233,0.59589730205366,0.497702940462991,0.384427587759462,0.38266375717074,0.390692459256246,0.342342357960614,0.353561302907567,0.998952786409371,0.474901490719155
234,0.538292382644198,0.545311386896443,0.332342436789977,0.32365343934415,0.33273720199838,0.279853757368601,0.295038582859718,0.998920506028854,0.456965039970744
235,0.432792393779628,0.616382490734233,0.249199581605261,0.230314071885862,0.249929741163317,0.108377222843441,0.211285624952537,0.999858434157898,0.598084664639122
236,0.425917615733684,0.668467410629533,0.256656662495752,0.23666056206191,0.251400556441472,0.114946945937781,0.215916074929743,0.999874405908485,0.601295680176406
237,0.40349280138058,0.746311567653709,0.239677504099754,0.220552218234683,0.235256078478067,0.0991941752690555,0.201458340770115,0.999923989791128,0.625020892404388
238,0.40349280138058,0.746311567653709,0.239677504099754,0.220552218234683,0.235256078478067,0.0991941752690555,0.201458340770115,0.999923989791128,0.625020892404388
239,0.122961348102334,0.932740372210617,0.0458048550477071,0.037176617708165,0.0436229666560683,0.0351067796970173,0.0328531370953749,0.990041484901209,0.958734883476156
240,0.0977619537146546,0.70571579214796,0.0265865738113277,0.0185577735159326,0.0262258000645471,0.0192252496972835,0.0188636581133287,0.998064351258927,0.926291648622472
241,0.067760749771922,0.976786053387753,0.0132144025567277,0.00902772305954919,0.0138231883517186,0.00875602079589447,0.00889245415581983,0.999585383436838,0.85937952407358
242,0.0694990203650661,0.975325783712626,0.0131396879542872,0.00731651889563364,0.0133174473914231,0.00544203489416198,0.00782897209236606,0.999949639938257,0.857264588184742
243,0.125205865208064,0.953968465047965,0.0286495864844857,0.0185323764225467,0.0290050165590496,0.0156865678643379,0.0190800030156563,0.99997746262198,0.911060211032957
244,0.0992448880837045,0.767523749237316,0.0220428716837587,0.014353448864176,0.0238153145760811,0.0103737805837754,0.0147787865162905,0.99999468438185,0.903383392681112
245,0.0746517081763616,0.786857966329041,0.0140757735513661,0.00951262147246593,0.0157028790838035,0.00668348136254667,0.00941870129364538,0.999998771571597,0.876042271389456
246,0.0704017264243923,0.809187208707206,0.0113257668689679,0.00706082475984522,0.0123569551409579,0.00529073278842118,0.00706555747137106,0.999999501826574,0.895947280626791
247,0.0797999941100728,0.651683365935187,0.0130217096795725,0.00786075621618885,0.0138644107647965,0.00736828337933221,0.00802128933794449,0.999999749466616,0.885780261157714
248,0.0797999941100728,0.651683365935187,0.0130217096795725,0.00786075621618885,0.0138644107647965,0.00736828337933221,0.00802128933794449,0.999999749466616,0.885780261157714
249,0.20630754466156,0.655411260992566,0.0694442360361132,0.0544016009299433,0.0726186602621969,0.0419262801299359,0.0523959288434345,0.999151040876344,0.845373720340271
250,0.193418591348476,0.618723824512609,0.0664545202747728,0.0501454918646599,0.0677976878874501,0.0449015570022833,0.0484529509811147,0.999708563286447,0.856489797937094
251,0.264248369865913,0.839182987450761,0.0973274248438073,0.0746280907003873,0.102169761274224,0.0409153738767958,0.0729717126413976,0.999948811739242,0.838727828254516
252,0.260848434685786,0.872019376023881,0.0918636021608234,0.0762017239238783,0.100931061282392,0.0475471841035598,0.0739854478318716,0.999990033847381,0.831506638653756
253,0.211099481805736,0.665046015457433,0.0700885672917154,0.056289028430994,0.0784744176793337,0.0454394131329167,0.0546405349303876,0.999995403394602,0.876405459999675
254,0.20486307157685,0.822263895512374,0.0703450050401856,0.0560220167402796,0.077473479576998,0.0374266243801273,0.0546212385674043,0.999996473925577,0.88053010861753
255,0.250675403913358,0.636630779276407,0.0789971943570334,0.061622940672067,0.0899795552660688,0.0388710977062148,0.0612570575670286,0.999999178871937,0.89391514622773
256,0.259378726728704,0.476547646769795,0.0825527351329265,0.0645466774511365,0.0928266689918435,0.0416100496449527,0.0636074682499452,0.999999139678419,0.903559412602126
257,0.259378726728704,0.476547646769795,0.0825527351329265,0.0645466774511365,0.0928266689918435,0.0416100496449527,0.0636074682499452,0.999999139678419,0.903559412602126
258,0.966397217182834,0.898191703092022,0.729517548757743,0.701756301525166,0.712856081330196,0.564314459897897,0.661121341025006,0.999252744124172,0.389107762724834
259,0.960640800086175,0.924890564029074,0.681258263017506,0.650690885510598,0.680946499819761,0.476750060177404,0.626021727641353,0.999901775960696,0.42055083144855
260,0.634968486153873,0.659215674647988,0.390913195798551,0.376975326504163,0.392670394342942,0.289959433351072,0.347315786195606,0.99970198923479,0.468676796122476
261,0.528969748217196,0.671367375590494,0.300432588640457,0.284246891674017,0.299988707111109,0.231694718894335,0.258260838257194,0.999857215943684,0.470009764231697
262,0.599588040782443,0.530234868763053,0.354708378028807,0.328704847089588,0.356834867534757,0.244684955571815,0.30463347148291,0.999963440713612,0.577022421034451
263,0.471404670889085,0.588455208536036,0.264854793176821,0.239262825368688,0.256432210693749,0.13199095015329,0.214655467097314,0.999975330634769,0.591780915356229
264,0.455468680503077,0.556443445354623,0.254758567772709,0.23067713768649,0.24645150387453,0.127820236208756,0.206199221689397,0.999982753103941,0.609684167318072
265,0.455468680503077,0.556443445354623,0.254758567772709,0.23067713768649,0.24645150387453,0.127820236208756,0.206199221689397,0.999982753103941,0.609684167318072
266,0.883037174864699,0.599042173564416,0.63493462443698,0.629089617387457,0.646401702043442,0.612742612284362,0.600543528065927,0.999593223469212,0.474785263414727
267,0.59589730205366,0.497702940462991,0.384427587759462,0.38266375717074,0.390692459256246,0.342342357960614,0.353561302907567,0.998952786409371,0.474901490719155
